Composer,ID,Image
Francois de Fossa,6dwvOAIz6aIgPyDEZpv2oh,https://i.scdn.co/image/e8f00d05f752c7b433d2269fa5509c7317001c35
Philipp Jakob Riotte,0nbaVwqDEjDmefywgEApAe,
Ludwig Berger,2oijvvU4yGU3G9iaODn7ta,
Pauline Duchambge,2hmSYq62p65VXwaNp2rde9,
Sigismund Neukomm,5TXW5XtsyFmVahbqyemBse,
Nicolas Isouard,10xddF0RFo8wiwy942qF8Y,
Conradin Kreutzer,2uANX5maiDPxEGHzRhn6Wk,
Johann Nepomuk Hummel,0WiK9IsQEQEuIQ1iDxvuPg,https://i.scdn.co/image/e1a6a260fe96c8e9e4386e325933d4dadd2d832c
Louis-FranÃ§ois Dauprat,6hUn4pSMbozR7bOZGgmRrA,
Mauro Giuliani,4qXtGiJP51BsAIi4bJNeir,https://i.scdn.co/image/deae11e1583d1971af70f4da3b0e5cb9ead9f75b
NiccolÃ_ Paganini,39FC9x5PaTNYHp5hwlaY4q,https://i.scdn.co/image/9c5807a6962c37ea28c9977f5e577ac172d583e5
Daniel Auber,1vZ1dRN06p7GswsiwNtS0b,https://i.scdn.co/image/fea0726cc2390842a266382e91e8c575ffce55d3
John Field,7vDYlejWEU6Yuw4MxTiv56,https://i.scdn.co/image/3e2f20777f15cb9a756e932e76c30996fdef5253
Carlo Coccia,3zIQqWGABrMPs9iFj6Wyd5,
FranÃ§ois Joseph Naderman,1EhQ5F6ioQIKeibpHcnwsy,
Francesco Morlacchi,6cKlfrrehYcI7Gpskd0DqN,
Fernando Sor,4KAvqco7JE80QdRlEjvyrd,https://i.scdn.co/image/10a56f736d2cce854b61e1c59ecfa1613ab78953
Friedrich Dotzauer,7ln6jy3RSzyjRLdDuc7hH9,
Simon Sechter,6gPuW3YD5qDhbDwHRGeER8,
Alexandre Pierre FranÃ§ois BoÃ«ly,712qGFecAptplIkITwkfVq,
George Onslow,7c7cOSRPylS7Uk7NkohngW,
Bettina Brentano,4kwW8o6pKmCUllQetd2o5G,
Anton Diabelli,5S07yOKHJQw62NK0u0r00D,https://i.scdn.co/image/19d374c573f9c73ab9fe30c31813474763b397b9
Michele Carafa,2dLFh3Vyvi6gQMvjH85sCa,
Johann Peter Pixis,5NuyFBpTD0earLKkbBjkEU,
Joseph KÃ_ffner,1vjOTzGKbZLOmo3rkaE1vJ,
Isabella Colbran,3N0suas2XLIY0zTctAyvrs,https://i.scdn.co/image/84169fe22796f2234b255bbb9b4a645a66a130e9
Louis Spohr,7MzxeLpsMxTk4HDBG6C7rq,https://i.scdn.co/image/7410f24ccf1d6be5edc4e467b79572208f261ba1
Marie Bigot,6gaibOEI7HeV6P9YP0vK2n,
Carl Czerny,3gOIm6ckbGpE2x2Cl0XnsW,https://i.scdn.co/image/568a14926c969572ba64047be463e63b7f7ae1da
George Frederick Pinto,69CCKvpcVFXSOYBb8SDrp6,
Sir Henry Rowley Bishop,6XFR4sCl5amPDW9lthLtY1,
Friedrich Kuhlau,4yZL2ra98L6CezM2WkVbCE,https://i.scdn.co/image/c50d73bd1fef748d5351715f51b6e6a0b32c09ce
Alexander Alyabyev,0YVUvbmFDA7BN81dDht4xQ,https://i.scdn.co/image/8cd78c39b3a00855607f107c00375e88ab55919b
Pietro Raimondi,74KO6JmdyWKmOnoSryC7Sk,
Carl Maria von Weber,1p6wR69pnH9LBWZvwliuz2,https://i.scdn.co/image/87c7257434f81d7a59bea34e504c2c8f0fb86363
Franz Xaver Wolfgang Mozart,2Tl3cwiI6QX8wHUJI32rD6,
Carlo Evasio Soliva,2oyZEW13hjJIyyXMK0pWy5,
Ferdinand Herold,67Ah6SrUvcNVhXrUxebYUx,https://i.scdn.co/image/cceb0633eea8d8c9e6aea790b794a053d52ff7de
Nicolas-Charles Bochsa,2Ma4p83lvJ8z29BfiIi6Fb,
Fromental Halevy,44lMIc4WPA5SLDxhLjWno2,https://i.scdn.co/image/74552f60b26a433f34d524afe52aea661ff02b6e
Giacomo Meyerbeer,6aItH4tJHWc4wKwlDXkJrc,https://i.scdn.co/image/14fb9bfc3b2510aeee8b796629c10674ab25b796
Georg Caspar SchÃ_rmann,2G4e3wKQOnuJeze6s2fDeM,
Gioachino Rossini,0roWUeP7Ac4yK4VN6L2gF4,https://i.scdn.co/image/d19b46724bca9c4a48e7ef8e6245ccb6e9eca3c2
Saverio Mercadante,4Yi0sefu5ff6Y0NnuR4f2N,https://i.scdn.co/image/c67b11821449d71f50da26862a5e07eb835c6d1a
Giuseppe Maria Orlandini,0pje29PBovFePp7PYyjGZT,
Giovanni Porta,1nUP8U04altonFlBFY27ay,
HÃ©lÃ¨ne Liebmann,58QTCYpu1Seko7EV3wmxdl,
Ignaz Moscheles,16jXfuqWJEnpQ6wPVzGFXs,https://i.scdn.co/image/a6b43b85d5e4cdbf2449d0200451850e59a7173b
Giovanni Pacini,2ZBALBM8gWWdryeBIXfTkP,https://i.scdn.co/image/6a47b622cfb3eeb14894950c8ce98e187316e293
Franz Berwald,6ky9trvRb2Iv69Qg3aK9fH,https://i.scdn.co/image/be08ebf7a1f2ed84f267514065c2d9ab86d49c73
Franz Schubert,2p0UyoPfYfI76PCStuXfOP,https://i.scdn.co/image/a96f2804d87fc221f77d59d007defc9c8b635392
Gaetano Donizetti,2jCGEMSZXMSOImpD8sqo56,https://i.scdn.co/image/fa613afcb7db2285a4a875b3ddb71dc3c29988ed
Carl Loewe,5UNH9SPuo9kO24Jz7yhBx7,https://i.scdn.co/image/d147612e5658ba6ffd99b34a0858f59dd640e537
Leopold Kozeluch,7C5oAOwd8u6WbaKEn7NJEl,https://i.scdn.co/image/21371751592cd7168b0e6c459ae777ef2542aacd
Oscar I (King of Sweden),4umRnIkWRqXYQ50VJLydtf,
Giuseppe Antonio Avitrano,4DD6lIGeIZlSRh84xIIIFK,
Giacomo Antonio Perti,6sZSlSuz1VT79Pk3zb5IeZ,https://i.scdn.co/image/f3b6c8e35df493cb02c6487da24e93310c188851
Richard Leveridge,0hZdHuGa0j4ebePkBXepgY,
Johann Nicolaus Bach,7eaTS2USBOnvmcY27ZpVeV,
Louis de Caix d'Hervelois,0bYAP9IMUiSydvsqJR9PkN,
Tomaso Albinoni,17OArJzEhRR3OmhtGcnfBq,https://i.scdn.co/image/d13868304b903ced2371bc14d5e05240a43cf1c2
Johann Christoph Pepusch,0cUXke8xUirN51fCJ0Bxv1,https://i.scdn.co/image/6726f3f1b7f9e60423b3ac31386db3919d4e0236
Pierre DuMage,5l2OLnBE2oJ1dDIAksX50q,
Michele Mascitti,542EqPxL9KeRUx2LVuZSaD,https://i.scdn.co/image/9d4cf8dbbda01ebd3e6e7fa7f36f7fc151ccfffa
Wolff Jakob Lauffensteiner,3PHgL0ZcW65DynLtKiz21z,
Giacomo Facco,21ubccvurcAtA6XtKDiljP,https://i.scdn.co/image/bd4902f99b3d3e18e9958b111920fbca45f74c25
Johann Adolf Hasse,6w8vbl8dEQWsrWokjeM4sn,https://i.scdn.co/image/0359dcaea097f4931e70edcc5aa3b6531abd2618
Ferdinando Antonio Lazzari,0CjaddwnCBNQlQK1AKwoZf,
Johann Mattheson,0YuQmKNAObna6VBbIpp1VY,
Giuseppe Valentini,5YRv2s8GfqxjZKN0yKIp2u,https://i.scdn.co/image/9b1daca502445051683e4a8de87f3cf5f5979f98
Christoph Graupner,3EwOCXE7NAGZe9UGfundQs,https://i.scdn.co/image/72d35d08af5acacb05b85b0d0b62bd6762ec7508
Paolo Benedetto Bellinzani,5pwIwPofLhVH0vX7TIoulM,
Georg Philipp Telemann,2fg5h5pzleqI4RjFopWroj,https://i.scdn.co/image/a21fda8b685b8331382985b9725f5bcdf8dfd9b5
Francesco Durante,2ANNu3tydgHpquAJAMhW9l,
Francois D'Agincourt,0CdcCSbY1N3StUGnpidoL6,
Giacobbe Basevi Cervetto,7CjmbKMZ2vnrLJogjKOZPm,
Francesco Onofrio Manfredini,2xw6RSRcOMfng7dvPOUS2e,https://i.scdn.co/image/7bb11f0a79a9a20728598575fc6e42ae9a2d87d5
Giuseppe Matteo Alberti,22svob4gEahBZkW5s52G4C,
Wilhelm Hieronymus Pachelbel,5dDuS7uLqDrIdkFGNFzP5u,
Manuel de Zumaya,3M3fqTnh2ScpwiARvQFVV4,
Domenico Scarlatti,0mFblCBw0GcoY7zY1P8tzE,https://i.scdn.co/image/2fd11703675d583223e7423db4c5cc0a7bf7d2a5
Johann Theodor Roemhildt,3Ad25taWVZpC5NpBsAamRn,https://i.scdn.co/image/23180026c8e4eec9241e37e5bd7bd4d9cbf40c61
Nicola Porpora,7lc5ghE4vXqyAsVs3GZAq3,https://i.scdn.co/image/e9d5b73f57e6135e2624ee4b2f92fa9449ff261a
Willem de Fesch,3A7UTdFke7GIcaxEnTpGDX,
Johann Georg Pisendel,2A1dlEsuOOFYaqRRyGu1Sb,
Francesco Geminiani,4Vn6axeFKEaPRH1sI7JVKj,https://i.scdn.co/image/f993a84a47954adf27a1acd1042c336d3c110743
Johann Friedrich Fasch,6VICssnd5TFFusdpL5f2K9,https://i.scdn.co/image/f42634689c034c10685df9312f515efdb88d4779
Joseph Bodin de Boismortier,725cpZyftwsHTeKR2fvf0q,https://i.scdn.co/image/5d76426c0538137d9c0015aa1dab8b9118e3685f
Giovanni Battista Somis,5Md6MOPG2IFpoh8agp0F8c,
Giuseppe Antonio Brescianello,0umkbxC104PWkhWjw1lvoE,
FranÃ§ois Colin de Blamont,25upqKJso2UxlSePtuKJIj,
Francesco Barsanti,7e5HLBWIBzIyoZeV8bWwD8,
Johann Tobias Krebs,1B481DdPyWCeAVD4AHv6Fo,
Don Pietro Gnocchi,4sLBGuzLXavfkiewa2n1n6,
Francesco Maria Veracini,7f7Fq3LZJbshWixqxVsofz,https://i.scdn.co/image/e9629166064c10b998959762e22f0bab5d258a78
Conrad Friedrich Hurlebusch,11GfEitrU7kbCKvzh1PxQg,
Giovanni Alberto Ristori,0ztocRr3WFjTkWABwqB8KM,
Antonio Palella,5CliRkkfrrWwK3Q8AsyJBr,
Gregor Joseph Werner,3FLxEaYTCJpxc52GijfWVD,
Pietro Locatelli,2zcA2rLi9jv1i97HmFWFv4,https://i.scdn.co/image/57122eab8ebb7d8044353c8a69f922ee492c2824
Johann Samuel Endler,2GasJeYgS7cn1viDffssQx,
Giuseppe Tartini,46x75iFAkipaG5IEAFN4L4,https://i.scdn.co/image/deba671f27de5b82bafc01fa2e7185effcdbfc8e
Unico Wilhelm van Wassenaer,1Zlb4fNLrc1c9MTkgYlFyh,https://i.scdn.co/image/0f6109488a61ca588cfa61200f8f23c37b045c8d
Johann Lorenz Bach,5KzUgdUM2mnpeLnFRsLLQn,
Johan Helmich Roman,7fmuw46A73YYDDI1AV6KZd,https://i.scdn.co/image/e3ed1d9214d9516823998451872469a4299d9f99
Ernst Gottlieb Baron,5CbKvx9oWL5hl13ULmr2dQ,
Johann Melchior Molter,0yeVLYOjmMKlKDGDhYPeRa,
Gottlieb Muffat,5PNekxMQNKhSnng50Ft9On,https://i.scdn.co/image/f774fd4779925ab632bbc3fcf9be404c7cbc1ca8
Jacques Aubert,4UDIyicairXy4hzTNf4iw1,
Pierre Fevrier,3ZB2owEFix0CiP0w6r6k7U,
Thomas Roseingrave,3wJPat1j68xByeq5z1QXfe,
Francesco Feo,6LBbHjJ9wgxrp5Uf6gyJlw,https://i.scdn.co/image/fe8b164dcbcd17789e0bc0bb9f6e6f18e9c112bc
Sebastian Bodinus,3zFK509IeODrN8EtCzyQZi,
Andrea Zani,4R6q9VBUSwtK6evKgOR5rn,
Joseph Gibbs,47Q632e4oprW3s66jALpTc,
Jan Zach,2oY4QN0Tx1cd4Rwtky2GdI,
Josse Boutmy,3S7qFZY2jsOpoXsdvBmpcH,
Giuseppe de Majo,1DGLF4ptdov8hhijMIf6PR,
Maurice Greene,54tDLNmoKQre57OOvCJpZK,https://i.scdn.co/image/4ae54b84f3d38d58c875334bca54d2a221509a48
Johann Christian Hertel,0Oh54uW3111LzjN1t4MisF,
Adam Falckenhagen,3isAWD95xBZQpM85Shxl1g,
Johann Pfeiffer,7KrQ6xbpHTFBLR47yst7U9,
Giovanni Benedetto Platti,0RFpVAGFCugeIDlW97oCFq,https://i.scdn.co/image/9c5d630938cf4b7ace894a1bf15e55b5ea834a85
Nicolas Chedeville,4t68RA6LrQhCg9x9orWPIA,
Johann Joachim Quantz,6OGzv7Vb39sOEIJ6o26yNV,https://i.scdn.co/image/8b761fe3919021d1f357fab9a57ca5590f66d7f1
FranÃ§ois Francoeur,2KDkEWrvxN31Fibt4QXOsp,https://i.scdn.co/image/09370f55defe4332047d30530bfb71981931210f
Riccardo Broschi,5bR4JwcCpHYXCJZV9b8FXs,
Nicola Bonifacio Logroscino,2xo6WFMLxfo2pdOVhQZ58G,
Gaetano Maria Schiassi,0f4qFCCdsIb4IhCQUHAU1M,
Juan FrancÃ©s De Iribarren,3EjiWFbNynhV4zzY32YCtQ,
Charles DollÃ©,6K6Y5UIBXsuA5xK7Ov4ix9,
Giovanni Giorgi,0HMMlbLJlddhkzfkmyipfb,https://i.scdn.co/image/0983e4b62b08c0ba5981669b976c5ef5216ed43b
Michel Blavet,6L1kCjxAKIWpEaJjYbOsDX,https://i.scdn.co/image/3f2606239ac54d47ae4bccca70d2368998faa13d
Domenico dall'Oglio,6p2przxpWEnnZWthnFc4Du,
Joao Rodrigues Esteves,6xRZOwKETmlWAXA6JedFq8,
Francisco AntÃ_nio de Almeida,3AtmOk1lJXMpUth0djfUsx,
FranÃ§ois Rebel,2cAmPDsVsXqwEaBSTdS0JA,
Nicola Fiorenza,3LHew9notb28wfFEY0sSGB,
Johann Gottlieb Graun,7DPB6X6nVzsFVNfrs6lg8l,https://i.scdn.co/image/867366f94d05af982b8e3f67fc446dc0c3107525
Johan Joachim Agrell,2nHvZYEGYyRXBqsXbwsZ0R,
Giovanni Battista Sammartini,3q4lkJBQDPwgWC1rkfxXLv,https://i.scdn.co/image/928f05950050c0e9f95a2829532192e89509eef6
Alessandro Besozzi,2H6QWE0PzZBvg9rf7INPvW,
Johann Ernst Eberlin,7v5GeBwFVFvkDqDmhdVvMB,
JosÃ© de Nebra,4UDs6QCUbK7WKsWBtJWDhR,
Joseph-Nicolas-Pancrace Royer,0QNLor0kMA26HcpvzwEuvT,https://i.scdn.co/image/7ed9b2f8d78ccdab13dec6e627f8bf4667411e35
John Frederick Lampe,6JQhcUhcnvyKIsK2XSqjnK,
Johann Peter Kellner,4ZHBeTNiUlGp08DeQv5HpF,
William Hayes,6Nhi4xpGoFpgGAZERufpY8,https://i.scdn.co/image/808f1273ee103539e6e94398e65ced0cd8189eb7
Carl Heinrich Graun,4RCCipjKTeizg2kHWlIHvG,https://i.scdn.co/image/13d205612629764536d97426b222b65e47dc5649
Pietro Domenico Paradisi,5ZVgiDtUsBkgcWLZ2Vr8pW,https://i.scdn.co/image/0d9b7187df5a1516439da348ccac1ef78947aa6c
Carlo Cecere,7rEbdbChShX7nqq6WfDJD2,
Giovanni Battista Pescetti,66pGYhfbMSXLOkL1TU64Y5,
Johann Adolph Scheibe,0XS90jAk3KUWkQIWwWrt16,
Giovanni Battista Martini,4oWPDBXFnnKfEcLsGhasaK,
Thomas Chilcot,6XoHkU9ZN4GkIBMEHkgSBN,
Baldassare Galuppi,65fAk5vQnO9gmOCk2wPkuT,https://i.scdn.co/image/124485abc86e3af138f5a4cd20fe5120118c2b8d
Egidio Duni,29Ta9exosy7zqmfJz6oO0O,
Johann Baptist Georg Neruda,5eA4h0JmH9u9ti23QTegD6,https://i.scdn.co/image/96d46891a6b750dafc6dac64265b1ff2963a1d4d
Thomas Arne,2xlqXgu9HqjVPWYoX8uido,
Johann Gottlieb Janitsch,5sgUFW1SRUZ77UA98IISU4,
Wilhelm Friedemann Bach,5fz5lcOIakwBiRF7vzfm0u,https://i.scdn.co/image/4130515a11dbcfa80958f51cb4e595c14e3116f3
William Boyce,7ACr1vVXFFwfQVyJm9J54z,https://i.scdn.co/image/7df6ad0f7ec4b98d125a191812e54d96a29d0777
Charles Avison,4Px5evZEvbbIPRG2h1TCyD,https://i.scdn.co/image/e2431746f07629850a66bc89dcff82120ba5244d
Franz Xaver Richter,3QyU1fkxw1jcYIy3V8Rn2e,https://i.scdn.co/image/c236ba32ca6b93fead604d0cd07e45c2143ebb6c
Carlo Graziani,0gVaYxZlLoLghUCC2R1rVi,https://i.scdn.co/image/eedf945e1d4a9028b0fdf434f8414dc67ef0a5eb
Gaetano Latilla,7sFopz1ZqUjtiT6DEnC0og,
Christoph Schaffrath,57h8zbFbb78CqY6I5VWwPk,
James Oswald,5QvJH0jWjwMxXv6WitTmtw,
Franz Benda,26ZyKPKcpyFEN0lZTpSqrn,https://i.scdn.co/image/1123904f86067bc8ee997c4ae380ff25d230cfda
Ignaz Holzbauer,6A18tc7ASx6onN5LfPcEso,
Davide Perez,1RpNGyDqWZxBELUVapwSQZ,
DomÃ¨nec Terradellas,1b575gMwGNlfj53BQQvfy4,
Frederick the Great,1N2S1tQEsMdR4eu1GqVjPc,https://i.scdn.co/image/003781a355d3b54ef498d7e162878d63dfb0e938
Christopher John Smith,6mfWuW5ulTsRhMQ4gjavJt,
Antoine Dauvergne,6MNqzEKFHgC1xzfyb2CVCM,
Johan Daniel Berlin,1dhf1IsCCk2huf9MfNu5HQ,https://i.scdn.co/image/6140d81df52acf54d6233e0aaa749dda5cabef9e
Johann Ludwig Krebs,5GnYnFuiUNc9n1O9qAE97L,https://i.scdn.co/image/61f1c79aefb63bb4db9dca3037c18743cb7f0187
Gottfried August Homilius,2jThKTZICl4g9LLzuvEV7r,https://i.scdn.co/image/ac62e46e2cd559669422311e8ff7581edb92db51
NiccolÃ_ Jommelli,5kdTUTQWRRbRIfAMjHsRrm,
Pasquale Cafaro,3j0vtVTR79TYoTJpVEmQd9,
Girolamo Abos,3rIPArg6qABX80e3MsRSwr,
John Stanley,7C8ggceBzsH1ZcYHHEAAGk,https://i.scdn.co/image/87d355ab76e43368c9a2d966a752057a44159c8a
Johann Friedrich Doles (1715-1797),7EuEkZEnDVaZRLSTSsXzYd,
Per Brant,0KWDex5ROl2xf6ly4DZOXT,
Christoph Willibald Gluck,7vfydQ0nVBVgJ0ajs8EtRM,https://i.scdn.co/image/ccf504aaea0388d64976b3dab0ab2e9f4f97b98d
Georg Christoph Wagenseil,3yOtqy9v0Tw0BIxnbBgKht,https://i.scdn.co/image/27dc83189c7ccd5d2a374e15a1cdf339f8479c48
Josef Seger,51IfAsDTMMnS89uBAf7ftQ,
Matthias Georg Monn,4hDJQRSI84oHJZmMmEUyqr,
Carl Philipp Emanuel Bach,3meioy7GWDwpwmjv2LPyAb,https://i.scdn.co/image/d43a6e1d4419102b4d55ec8ce106d8ce1eb412f4
John Alcock,1fo7htOyEuBbA0aLF1nzE3,
James Nares,4UyusrtELTaSC6WvxpIZMF,
Johann Stamitz,3xo4qynwgOgEdxJvrGfW22,https://i.scdn.co/image/d05961dea1503b00355a677fd81543ad50f17840
Francesco Zappa,7fhoIEuFHdYugWC0lO7J8a,
Jacques Duphly,4xNWxGw10GFm8PuzKbzCxb,
Antonio Maria Mazzoni,0DFdAxOKqQBK8LQLPCqFWh,
Nicola Conforto,0cbBhy6SXFVgn2dwmUb2AV,
Johann Christoph Altnickol,09VnZqL6zORVfu5sWpfh1o,
Giuseppe Scarlatti,3p2eaehLUj1f5L3heoV159,
Leopold Mozart,5s4B01oaRxqTvONFg7Ymv1,https://i.scdn.co/image/3373a72aab5bcba8cb5c2d5f18f4b15f4db56692
William Walond,1xRUO0JhWbVAyWtbPF7pOW,https://i.scdn.co/image/0cc27707468832e20f882d811db11a6db6516be4
Gioacchino Cocchi,1qi3W2eb0uqFz8UVHSwjkX,
Johann Friedrich Agricola,1Ip7BTamdS6FuyFYdQqvOm,
Pietro Denis,0fZU9I81MU8prbqeJ41DgU,
Bernhard Joachim Hagen,4C5ayULfDjchGDFpclI1bx,https://i.scdn.co/image/f0e7bbfcca1e2879bea9f140d53d58d6f8877dfa
Quirino Gasparini,6o6OeHzC8bEwcCxbxrmTjT,
Pietro Nardini,1Q1t0pwZLsseirmN15wsD2,https://i.scdn.co/image/98d95c7b42590af13911434db2e2931a446e87be
Pieter Hellendaal,650vXTuKCzqSxHZRQDLYgR,https://i.scdn.co/image/a53e068ae65de53ef1e9525ed34b3890a3db3a8d
Johann Philipp Kirnberger,6fnQvL3k7inhG6vwbpFV7l,
John Garth,0gaoQQNgdl4uxU8TzjttkM,
SebastiÃ¡n RamÃ_n de Albero y AÃ±aÃ±os,5OSfdXdVKQkp8l876ATpFb,
Giovanni Marco Rutini,1pYbgkOyDi2tv7BfKtcKBy,
Francesco Antonio Baldassare Uttini,2O2GVkAbzrA6m0dAWRkSyw,
Giovanni Battista Cirri,3ai57kGXQ0bikXZh3idXCr,
Johann Ernst Bach,1r1i4mD5wsJKnkiZ8eNbye,
Rafael Antonio Castellanos,3TdtwbDNh1nVyLsVaFW5cg,
Carl Friedrich Abel,4tK1TZjoCeKTUr5flyNcxN,https://i.scdn.co/image/47fd82ccb979f30f772db346afc57c025c4f30dd
Johann Christoph Kellner,0sHAqRQksW5GnrOImdmdHo,
Antonio Lolli,29srCKHi7R4LIwq6puiqsg,
Karl Kohaut,0og7nQRLeAg21J1wbtkLvJ,https://i.scdn.co/image/c2af7e3b94323f98867cda75d098bb7a0b79a805
Philip Hayes,1m87XcQmuku81Rn7WNkRzM,
Claude Balbastre,3LPbfvn0fOPv78Ogri8CpN,
Giovanni Paisiello,11RfnL7BO42Nm3MzSB5QDa,https://i.scdn.co/image/12d5ff597f6d9bb83233dcd53fa0840600af7da8
Joseph Starzer,1n70ZINmPhrStQCvqYLJQR,
Jan Adam Gallina,7LH9VQGheK9Vqd8QLk6lOp,https://i.scdn.co/image/a9274be76dce45092cb8a4df5106fe95b4bc3a46
Pasquale Anfossi,0ASAcfLQK0TxF5ZcGbyvI2,
Johann Becker,5TBiWbOL3ZcYTkZKah748Z,
Pierre-Montan Berton,6NvWGhycYYXcfypuojS4hM,
FranÃ§ois-AndrÃ©-Danican Philidor,4XllC7nMxqvTAbj1F9VqSD,
